102084,Entity,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),Continent
105392,Low SDI,Low SDI,1993,20534328.285500,
105393,Low SDI,Low SDI,1994,21069541.780100,
105394,Low SDI,Low SDI,1995,21640401.617700,
105395,Low SDI,Low SDI,1996,22222403.303800,
105396,Low SDI,Low SDI,1997,22807605.970400,
105397,Low SDI,Low SDI,1998,23383790.284800,
105398,Low SDI,Low SDI,1999,23951772.612600,
105399,Low SDI,Low SDI,2000,24544427.974900,
105400,Low SDI,Low SDI,2001,25183067.114100,
105401,Low SDI,Low SDI,2002,25883552.143200,
105402,Low SDI,Low SDI,2003,26613000.868500,
105403,Low SDI,Low SDI,2004,27327109.666300,
105404,Low SDI,Low SDI,2005,28058475.961100,
105405,Low SDI,Low SDI,2006,28630457.604200,
105406,Low SDI,Low SDI,2007,28999448.555200,
105407,Low SDI,Low SDI,2008,29316304.165900,
105408,Low SDI,Low SDI,2009,29704905.883600,
105409,Low SDI,Low SDI,2010,30338110.228900,
105410,Low SDI,Low SDI,2011,31167806.921500,
105411,Low SDI,Low SDI,2012,32024717.836000,
105412,Low SDI,Low SDI,2013,32905690.058300,
105413,Low SDI,Low SDI,2014,33801118.343800,
105414,Low SDI,Low SDI,2015,34711947.025700,
105415,Low SDI,Low SDI,2016,35665979.292700,
105416,Low SDI,Low SDI,2017,36677828.603200,
105417,Low-middle SDI,Low-middle SDI,1990,30606935.503100,
105418,Low-middle SDI,Low-middle SDI,1991,31535758.796600,
105419,Low-middle SDI,Low-middle SDI,1992,32489686.980000,
105420,Low-middle SDI,Low-middle SDI,1993,33408124.715500,
105421,Low-middle SDI,Low-middle SDI,1994,34293478.088200,
105422,Low-middle SDI,Low-middle SDI,1995,35131773.160300,
105423,Low-middle SDI,Low-middle SDI,1996,35979917.988900,
105424,Low-middle SDI,Low-middle SDI,1997,36873029.407200,
105425,Low-middle SDI,Low-middle SDI,1998,37788771.650400,
105426,Low-middle SDI,Low-middle SDI,1999,38715657.919800,
105427,Low-middle SDI,Low-middle SDI,2000,39632653.884400,
105428,Low-middle SDI,Low-middle SDI,2001,40559993.718200,
105429,Low-middle SDI,Low-middle SDI,2002,41519781.278800,
105430,Low-middle SDI,Low-middle SDI,2003,42495547.810400,
105431,Low-middle SDI,Low-middle SDI,2004,43491450.450700,
105432,Low-middle SDI,Low-middle SDI,2005,44466584.106300,
105433,Low-middle SDI,Low-middle SDI,2006,45186009.738400,
105434,Low-middle SDI,Low-middle SDI,2007,45601189.003900,
105435,Low-middle SDI,Low-middle SDI,2008,45897167.313600,
105436,Low-middle SDI,Low-middle SDI,2009,46278365.876600,
105437,Low-middle SDI,Low-middle SDI,2010,46990390.275100,
105438,Low-middle SDI,Low-middle SDI,2011,47972883.256000,
105439,Low-middle SDI,Low-middle SDI,2012,48972800.334800,
105440,Low-middle SDI,Low-middle SDI,2013,49974853.551600,
105441,Low-middle SDI,Low-middle SDI,2014,50989059.045300,
105442,Low-middle SDI,Low-middle SDI,2015,52008791.739100,
105443,Low-middle SDI,Low-middle SDI,2016,53046299.253100,
105444,Low-middle SDI,Low-middle SDI,2017,54120967.111000,
105809,Middle SDI,Middle SDI,1990,43144894.374200,
105810,Middle SDI,Middle SDI,1991,44162832.611900,
105811,Middle SDI,Middle SDI,1992,45139038.807600,
105812,Middle SDI,Middle SDI,1993,46075910.918600,
105813,Middle SDI,Middle SDI,1994,46992126.510600,
105814,Middle SDI,Middle SDI,1995,47862493.401200,
105815,Middle SDI,Middle SDI,1996,48709837.558400,
105816,Middle SDI,Middle SDI,1997,49560881.291100,
105817,Middle SDI,Middle SDI,1998,50428577.234100,
105818,Middle SDI,Middle SDI,1999,51339690.948100,
105819,Middle SDI,Middle SDI,2000,52276605.956500,
105820,Middle SDI,Middle SDI,2001,53291577.857900,
105821,Middle SDI,Middle SDI,2002,54357479.140200,
105822,Middle SDI,Middle SDI,2003,55454037.159600,
105823,Middle SDI,Middle SDI,2004,56572613.037900,
105824,Middle SDI,Middle SDI,2005,57676742.900900,
105825,Middle SDI,Middle SDI,2006,58673420.326600,
105826,Middle SDI,Middle SDI,2007,59482580.776700,
105827,Middle SDI,Middle SDI,2008,60209318.522100,
105828,Middle SDI,Middle SDI,2009,60992275.249800,
105829,Middle SDI,Middle SDI,2010,61931657.067900,
105830,Middle SDI,Middle SDI,2011,62997546.008900,
105831,Middle SDI,Middle SDI,2012,64038403.007100,
105832,Middle SDI,Middle SDI,2013,65094312.272600,
105833,Middle SDI,Middle SDI,2014,66163935.815200,
105834,Middle SDI,Middle SDI,2015,67220124.488700,
105835,Middle SDI,Middle SDI,2016,68282085.923200,
105836,Middle SDI,Middle SDI,2017,69351713.747000,
106201,North Africa and Middle East,North Africa and Middle East,1990,10593350.220600,
106202,North Africa and Middle East,North Africa and Middle East,1991,10946687.672500,
106203,North Africa and Middle East,North Africa and Middle East,1992,11309943.459100,
106204,North Africa and Middle East,North Africa and Middle East,1993,11683380.620300,
106205,North Africa and Middle East,North Africa and Middle East,1994,12040975.781600,
106206,North Africa and Middle East,North Africa and Middle East,1995,12390459.572500,
106207,North Africa and Middle East,North Africa and Middle East,1996,12752037.929000,
106208,North Africa and Middle East,North Africa and Middle East,1997,13127542.662200,
106209,North Africa and Middle East,North Africa and Middle East,1998,13501941.144400,
106210,North Africa and Middle East,North Africa and Middle East,1999,13870999.886600,
106211,North Africa and Middle East,North Africa and Middle East,2000,14249353.426500,
106212,North Africa and Middle East,North Africa and Middle East,2001,14647725.888800,
106213,North Africa and Middle East,North Africa and Middle East,2002,15083593.585100,
106214,North Africa and Middle East,North Africa and Middle East,2003,15542553.334800,
106215,North Africa and Middle East,North Africa and Middle East,2004,15992103.654000,
106216,North Africa and Middle East,North Africa and Middle East,2005,16443107.302600,
106217,North Africa and Middle East,North Africa and Middle East,2006,16868974.474300,
106218,North Africa and Middle East,North Africa and Middle East,2007,17323061.669000,
106219,North Africa and Middle East,North Africa and Middle East,2008,17806968.164400,
106220,North Africa and Middle East,North Africa and Middle East,2009,18310389.009200,
106221,North Africa and Middle East,North Africa and Middle East,2010,18761278.818200,
106222,North Africa and Middle East,North Africa and Middle East,2011,19230657.022700,
106223,North Africa and Middle East,North Africa and Middle East,2012,19703612.835400,
106224,North Africa and Middle East,North Africa and Middle East,2013,20184695.658900,
106225,North Africa and Middle East,North Africa and Middle East,2014,20653857.388700,
106226,North Africa and Middle East,North Africa and Middle East,2015,21116954.110000,
106227,North Africa and Middle East,North Africa and Middle East,2016,21623916.698700,
106228,North Africa and Middle East,North Africa and Middle East,2017,22157536.163800,
106229,North America,North America,1990,12802783.892000,
106230,North America,North America,1991,12906574.703300,
106231,North America,North America,1992,13022248.476200,
106232,North America,North America,1993,13145630.978900,
106233,North America,North America,1994,13277867.359700,
106234,North America,North America,1995,13419539.541900,
106235,North America,North America,1996,13580873.549400,
106236,North America,North America,1997,13767210.478900,
106237,North America,North America,1998,13970101.148000,
106238,North America,North America,1999,14179867.065100,
106239,North America,North America,2000,14377948.804100,
106240,North America,North America,2001,14556587.738000,
106241,North America,North America,2002,14713497.288300,
106242,North America,North America,2003,14863076.288100,
106243,North America,North America,2004,15019786.860800,
106244,North America,North America,2005,15191046.564600,
106245,North America,North America,2006,15351498.070000,
106246,North America,North America,2007,15471945.884700,
106247,North America,North America,2008,15575127.999700,
106248,North America,North America,2009,15679597.834400,
106249,North America,North America,2010,15804832.022900,
106250,North America,North America,2011,15948747.767800,
106251,North America,North America,2012,16090629.599100,
106252,North America,North America,2013,16239864.606500,
106253,North America,North America,2014,16398737.663300,
106254,North America,North America,2015,16567631.480600,
106255,North America,North America,2016,16748763.015900,
106256,North America,North America,2017,16942022.495300,
106285,Northern Ireland,Northern Ireland,1990,65508.678893,
106286,Northern Ireland,Northern Ireland,1991,65918.91446,
106287,Northern Ireland,Northern Ireland,1992,66344.152763,
106288,Northern Ireland,Northern Ireland,1993,66942.761834,
106289,Northern Ireland,Northern Ireland,1994,67559.005274,
106290,Northern Ireland,Northern Ireland,1995,68253.664446,
106291,Northern Ireland,Northern Ireland,1996,69417.385471,
106292,Northern Ireland,Northern Ireland,1997,71225.318922,
106293,Northern Ireland,Northern Ireland,1998,73245.404609,
106294,Northern Ireland,Northern Ireland,1999,75099.617091,
106295,Northern Ireland,Northern Ireland,2000,76366.88211,
106296,Northern Ireland,Northern Ireland,2001,77078.883779,
106297,Northern Ireland,Northern Ireland,2002,77578.389204,
106298,Northern Ireland,Northern Ireland,2003,78035.843859,
106299,Northern Ireland,Northern Ireland,2004,78478.870641,
106300,Northern Ireland,Northern Ireland,2005,79034.712042,
106301,Northern Ireland,Northern Ireland,2006,79714.954364,
106302,Northern Ireland,Northern Ireland,2007,80410.515379,
106303,Northern Ireland,Northern Ireland,2008,81066.257977,
106304,Northern Ireland,Northern Ireland,2009,81690.187115,
106305,Northern Ireland,Northern Ireland,2010,82256.904244,
106306,Northern Ireland,Northern Ireland,2011,82633.960064,
106307,Northern Ireland,Northern Ireland,2012,82852.523843,
106308,Northern Ireland,Northern Ireland,2013,82905.356353,
106309,Northern Ireland,Northern Ireland,2014,82817.963512,
106310,Northern Ireland,Northern Ireland,2015,82569.890617,
106311,Northern Ireland,Northern Ireland,2016,82177.45218,
106312,Northern Ireland,Northern Ireland,2017,81687.940475,
106369,Oceania,Oceania,1990,154266.511414,
106370,Oceania,Oceania,1991,158885.950155,
106371,Oceania,Oceania,1992,163618.213819,
106372,Oceania,Oceania,1993,168361.223636,
106373,Oceania,Oceania,1994,173038.643617,
106374,Oceania,Oceania,1995,177724.915253,
106375,Oceania,Oceania,1996,182498.964112,
106376,Oceania,Oceania,1997,187463.884701,
106377,Oceania,Oceania,1998,192596.725079,
106378,Oceania,Oceania,1999,197905.498698,
106379,Oceania,Oceania,2000,203428.674942,
106380,Oceania,Oceania,2001,209160.260109,
106381,Oceania,Oceania,2002,214936.971955,
106382,Oceania,Oceania,2003,220862.20356,
106383,Oceania,Oceania,2004,227131.781188,
106384,Oceania,Oceania,2005,233789.096916,
106385,Oceania,Oceania,2006,241091.908774,
106386,Oceania,Oceania,2007,248902.158498,
106387,Oceania,Oceania,2008,257085.709785,
106388,Oceania,Oceania,2009,265130.113204,
106389,Oceania,Oceania,2010,273112.655618,
106390,Oceania,Oceania,2011,280955.090375,
106391,Oceania,Oceania,2012,288761.841361,
106392,Oceania,Oceania,2013,296480.911571,
106393,Oceania,Oceania,2014,304002.255068,
106394,Oceania,Oceania,2015,311677.456989,
106395,Oceania,Oceania,2016,319221.06105,
106396,Oceania,Oceania,2017,326510.956724,
106957,Scotland,Scotland,1990,233007.77001,
106958,Scotland,Scotland,1991,232608.489832,
106959,Scotland,Scotland,1992,232229.749673,
106960,Scotland,Scotland,1993,231751.146879,
106961,Scotland,Scotland,1994,231480.109639,
106962,Scotland,Scotland,1995,231560.349205,
106963,Scotland,Scotland,1996,231858.24738,
106964,Scotland,Scotland,1997,232280.651275,
106965,Scotland,Scotland,1998,232673.381641,
106966,Scotland,Scotland,1999,233070.288513,
106967,Scotland,Scotland,2000,233551.298683,
106968,Scotland,Scotland,2001,233380.702332,
106969,Scotland,Scotland,2002,232325.233069,
106970,Scotland,Scotland,2003,231058.342595,
106971,Scotland,Scotland,2004,230112.701071,
106972,Scotland,Scotland,2005,230310.915074,
106973,Scotland,Scotland,2006,231602.542021,
106974,Scotland,Scotland,2007,233423.886427,
106975,Scotland,Scotland,2008,235401.352158,
106976,Scotland,Scotland,2009,237318.977168,
106977,Scotland,Scotland,2010,238901.321748,
106978,Scotland,Scotland,2011,240222.753982,
106979,Scotland,Scotland,2012,241458.319685,
106980,Scotland,Scotland,2013,242535.652753,
106981,Scotland,Scotland,2014,243676.179659,
106982,Scotland,Scotland,2015,244776.447913,
106983,Scotland,Scotland,2016,245704.702535,
106984,Scotland,Scotland,2017,246497.027985,
107265,South Asia,South Asia,1990,32809312.591800,
107266,South Asia,South Asia,1991,33916555.188000,
107267,South Asia,South Asia,1992,35012169.795700,
107268,South Asia,South Asia,1993,36078768.474800,
107269,South Asia,South Asia,1994,37108887.896100,
107270,South Asia,South Asia,1995,38078511.093500,
107271,South Asia,South Asia,1996,39000786.918600,
107272,South Asia,South Asia,1997,39893734.942000,
107273,South Asia,South Asia,1998,40791475.409000,
107274,South Asia,South Asia,1999,41724845.633000,
107275,South Asia,South Asia,2000,42729100.192200,
107276,South Asia,South Asia,2001,43842614.627100,
107277,South Asia,South Asia,2002,45062105.958700,
107278,South Asia,South Asia,2003,46337601.066500,
107279,South Asia,South Asia,2004,47612869.014900,
107280,South Asia,South Asia,2005,48828522.639900,
107281,South Asia,South Asia,2006,49523949.841600,
107282,South Asia,South Asia,2007,49543031.950200,
107283,South Asia,South Asia,2008,49292222.015200,
107284,South Asia,South Asia,2009,49212573.773900,
107285,South Asia,South Asia,2010,49806859.593700,
107286,South Asia,South Asia,2011,50932011.754800,
107287,South Asia,South Asia,2012,52080762.755500,
107288,South Asia,South Asia,2013,53255697.880600,
107289,South Asia,South Asia,2014,54470056.885200,
107290,South Asia,South Asia,2015,55710373.029500,
107291,South Asia,South Asia,2016,56987559.403700,
107292,South Asia,South Asia,2017,58332682.026300,
107349,Southeast Asia,Southeast Asia,1990,10573479.045500,
107350,Southeast Asia,Southeast Asia,1991,10845924.489700,
107351,Southeast Asia,Southeast Asia,1992,11116813.423500,
107352,Southeast Asia,Southeast Asia,1993,11387612.606900,
107353,Southeast Asia,Southeast Asia,1994,11658316.733800,
107354,Southeast Asia,Southeast Asia,1995,11929621.175500,
107355,Southeast Asia,Southeast Asia,1996,12195228.090800,
107356,Southeast Asia,Southeast Asia,1997,12445049.170100,
107357,Southeast Asia,Southeast Asia,1998,12689642.416000,
107358,Southeast Asia,Southeast Asia,1999,12940766.884000,
107359,Southeast Asia,Southeast Asia,2000,13201845.424700,
107360,Southeast Asia,Southeast Asia,2001,13485188.057500,
107361,Southeast Asia,Southeast Asia,2002,13770159.897500,
107362,Southeast Asia,Southeast Asia,2003,14063459.615400,
107363,Southeast Asia,Southeast Asia,2004,14358333.359100,
107364,Southeast Asia,Southeast Asia,2005,14647412.971100,
107365,Southeast Asia,Southeast Asia,2006,14937403.007800,
107366,Southeast Asia,Southeast Asia,2007,15218540.687200,
107367,Southeast Asia,Southeast Asia,2008,15496965.609700,
107368,Southeast Asia,Southeast Asia,2009,15780719.981000,
107369,Southeast Asia,Southeast Asia,2010,16071633.825500,
107370,Southeast Asia,Southeast Asia,2011,16376605.801800,
107371,Southeast Asia,Southeast Asia,2012,16687761.455200,
107372,Southeast Asia,Southeast Asia,2013,17007717.639200,
107373,Southeast Asia,Southeast Asia,2014,17333002.011200,
107374,Southeast Asia,Southeast Asia,2015,17659285.669600,
107375,Southeast Asia,Southeast Asia,2016,17992260.124200,
107376,Southeast Asia,Southeast Asia,2017,18337024.445400,
107377,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1990,51135210.767800,
107378,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1991,52065029.245200,
107379,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1992,52955007.645600,
107380,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1993,53809299.775100,
107381,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1994,54657955.412300,
107382,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1995,55464622.440100,
107383,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1996,56223458.873000,
107384,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1997,56945666.057000,
107385,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1998,57669158.552700,
107386,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",1999,58473896.368400,
107387,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2000,59360195.850700,
107388,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2001,60347258.303300,
107389,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2002,61364285.289700,
107390,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2003,62399866.782400,
107391,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2004,63482773.441300,
107392,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2005,64563597.759700,
107393,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2006,65750005.226400,
107394,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2007,67048601.120000,
107395,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2008,68395043.910700,
107396,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2009,69734519.951000,
107397,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2010,70955213.252700,
107398,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2011,72087144.353500,
107399,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2012,73176166.293300,
107400,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2013,74237678.251100,
107401,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2014,75255924.816000,
107402,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2015,76180948.816900,
107403,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2016,77015268.095600,
107404,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania",2017,77778833.883700,
107405,Southern Latin America,Southern Latin America,1990,1724203.28843,
107406,Southern Latin America,Southern Latin America,1991,1750743.12491,
107407,Southern Latin America,Southern Latin America,1992,1776476.23007,
107408,Southern Latin America,Southern Latin America,1993,1801852.15711,
107409,Southern Latin America,Southern Latin America,1994,1827322.34481,
107410,Southern Latin America,Southern Latin America,1995,1852855.72415,
107411,Southern Latin America,Southern Latin America,1996,1879205.98739,
107412,Southern Latin America,Southern Latin America,1997,1904797.62755,
107413,Southern Latin America,Southern Latin America,1998,1929340.51881,
107414,Southern Latin America,Southern Latin America,1999,1954218.08746,
107415,Southern Latin America,Southern Latin America,2000,1979388.87966,
107416,Southern Latin America,Southern Latin America,2001,2005599.24818,
107417,Southern Latin America,Southern Latin America,2002,2032215.12026,
107418,Southern Latin America,Southern Latin America,2003,2058977.75172,
107419,Southern Latin America,Southern Latin America,2004,2086084.5004,
107420,Southern Latin America,Southern Latin America,2005,2113348.76211,
107421,Southern Latin America,Southern Latin America,2006,2138412.97264,
107422,Southern Latin America,Southern Latin America,2007,2160776.27761,
107423,Southern Latin America,Southern Latin America,2008,2182275.80184,
107424,Southern Latin America,Southern Latin America,2009,2205262.21542,
107425,Southern Latin America,Southern Latin America,2010,2232114.47842,
107426,Southern Latin America,Southern Latin America,2011,2261279.72333,
107427,Southern Latin America,Southern Latin America,2012,2290738.88653,
107428,Southern Latin America,Southern Latin America,2013,2319951.97226,
107429,Southern Latin America,Southern Latin America,2014,2349340.66453,
107430,Southern Latin America,Southern Latin America,2015,2378174.52024,
107431,Southern Latin America,Southern Latin America,2016,2406511.48046,
107432,Southern Latin America,Southern Latin America,2017,2435059.93175,
107433,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1990,1524422.5127,
107434,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1991,1564504.41535,
107435,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1992,1605469.86373,
107436,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1993,1646840.70317,
107437,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1994,1688570.89749,
107438,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1995,1731532.74516,
107439,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1996,1775214.03706,
107440,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1997,1817262.61452,
107441,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1998,1857915.20596,
107442,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,1999,1898424.93699,
107443,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2000,1938543.72989,
107444,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2001,1982122.43083,
107445,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2002,2028949.35384,
107446,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2003,2074145.44626,
107447,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2004,2114700.77773,
107448,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2005,2149512.70638,
107449,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2006,2177252.73748,
107450,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2007,2199544.24615,
107451,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2008,2219337.60065,
107452,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2009,2239857.94795,
107453,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2010,2266438.96745,
107454,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2011,2300319.99129,
107455,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2012,2337894.47463,
107456,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2013,2378655.70937,
107457,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2014,2422700.12809,
107458,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2015,2470303.6209,
107459,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2016,2521850.69562,
107460,Southern Sub-Saharan Africa,Southern Sub-Saharan Africa,2017,2578284.42918,
107517,Sub-Saharan Africa,Sub-Saharan Africa,1990,13261708.692100,
107518,Sub-Saharan Africa,Sub-Saharan Africa,1991,13623627.091400,
107519,Sub-Saharan Africa,Sub-Saharan Africa,1992,13997710.406500,
107520,Sub-Saharan Africa,Sub-Saharan Africa,1993,14354746.390400,
107521,Sub-Saharan Africa,Sub-Saharan Africa,1994,14737116.336200,
107522,Sub-Saharan Africa,Sub-Saharan Africa,1995,15175068.620600,
107523,Sub-Saharan Africa,Sub-Saharan Africa,1996,15650988.874400,
107524,Sub-Saharan Africa,Sub-Saharan Africa,1997,16155894.914400,
107525,Sub-Saharan Africa,Sub-Saharan Africa,1998,16657266.435800,
107526,Sub-Saharan Africa,Sub-Saharan Africa,1999,17158637.566100,
107527,Sub-Saharan Africa,Sub-Saharan Africa,2000,17649921.458600,
107528,Sub-Saharan Africa,Sub-Saharan Africa,2001,18149981.153300,
107529,Sub-Saharan Africa,Sub-Saharan Africa,2002,18659886.527700,
107530,Sub-Saharan Africa,Sub-Saharan Africa,2003,19176842.744900,
107531,Sub-Saharan Africa,Sub-Saharan Africa,2004,19695941.666300,
107532,Sub-Saharan Africa,Sub-Saharan Africa,2005,20232104.827900,
107533,Sub-Saharan Africa,Sub-Saharan Africa,2006,20783717.263600,
107534,Sub-Saharan Africa,Sub-Saharan Africa,2007,21343535.767800,
107535,Sub-Saharan Africa,Sub-Saharan Africa,2008,21916170.292700,
107536,Sub-Saharan Africa,Sub-Saharan Africa,2009,22516036.257800,
107537,Sub-Saharan Africa,Sub-Saharan Africa,2010,23153238.666600,
107538,Sub-Saharan Africa,Sub-Saharan Africa,2011,23818730.155200,
107539,Sub-Saharan Africa,Sub-Saharan Africa,2012,24499874.947200,
107540,Sub-Saharan Africa,Sub-Saharan Africa,2013,25189019.774400,
107541,Sub-Saharan Africa,Sub-Saharan Africa,2014,25883189.959300,
107542,Sub-Saharan Africa,Sub-Saharan Africa,2015,26596132.541200,
107543,Sub-Saharan Africa,Sub-Saharan Africa,2016,27340419.566400,
107544,Sub-Saharan Africa,Sub-Saharan Africa,2017,28115871.986900,
107937,Tropical Latin America,Tropical Latin America,1990,4602130.96895,
107938,Tropical Latin America,Tropical Latin America,1991,4699543.16534,
107939,Tropical Latin America,Tropical Latin America,1992,4809701.85589,
107940,Tropical Latin America,Tropical Latin America,1993,4929874.43009,
107941,Tropical Latin America,Tropical Latin America,1994,5056986.76019,
107942,Tropical Latin America,Tropical Latin America,1995,5189865.95363,
107943,Tropical Latin America,Tropical Latin America,1996,5405506.66611,
107944,Tropical Latin America,Tropical Latin America,1997,5742739.50528,
107945,Tropical Latin America,Tropical Latin America,1998,6130736.42317,
107946,Tropical Latin America,Tropical Latin America,1999,6492547.80646,
107947,Tropical Latin America,Tropical Latin America,2000,6747777.98623,
107948,Tropical Latin America,Tropical Latin America,2001,6915348.57238,
107949,Tropical Latin America,Tropical Latin America,2002,7075796.55523,
107950,Tropical Latin America,Tropical Latin America,2003,7226016.81456,
107951,Tropical Latin America,Tropical Latin America,2004,7365487.01962,
107952,Tropical Latin America,Tropical Latin America,2005,7494345.15496,
107953,Tropical Latin America,Tropical Latin America,2006,7524813.25951,
107954,Tropical Latin America,Tropical Latin America,2007,7416903.51642,
107955,Tropical Latin America,Tropical Latin America,2008,7243412.26608,
107956,Tropical Latin America,Tropical Latin America,2009,7083744.88934,
107957,Tropical Latin America,Tropical Latin America,2010,7027737.12303,
107958,Tropical Latin America,Tropical Latin America,2011,7055478.92348,
107959,Tropical Latin America,Tropical Latin America,2012,7091093.99337,
107960,Tropical Latin America,Tropical Latin America,2013,7133133.18445,
107961,Tropical Latin America,Tropical Latin America,2014,7184055.56578,
107962,Tropical Latin America,Tropical Latin America,2015,7246879.29059,
107963,Tropical Latin America,Tropical Latin America,2016,7322311.10516,
107964,Tropical Latin America,Tropical Latin America,2017,7410500.92892,
108357,Wales,Wales,1990,129151.454522,
108358,Wales,Wales,1991,129361.704899,
108359,Wales,Wales,1992,129592.009427,
108360,Wales,Wales,1993,129741.580221,
108361,Wales,Wales,1994,129948.831724,
108362,Wales,Wales,1995,130204.743497,
108363,Wales,Wales,1996,130431.076167,
108364,Wales,Wales,1997,130563.607909,
108365,Wales,Wales,1998,130674.51795,
108366,Wales,Wales,1999,130855.766405,
108367,Wales,Wales,2000,131038.238586,
108368,Wales,Wales,2001,131087.617631,
108369,Wales,Wales,2002,130772.869763,
108370,Wales,Wales,2003,130380.598965,
108371,Wales,Wales,2004,130068.025904,
108372,Wales,Wales,2005,130174.054942,
108373,Wales,Wales,2006,130482.384012,
108374,Wales,Wales,2007,130783.620006,
108375,Wales,Wales,2008,131110.085661,
108376,Wales,Wales,2009,131575.606562,
108377,Wales,Wales,2010,132215.030638,
108378,Wales,Wales,2011,132949.956843,
108379,Wales,Wales,2012,133683.04214,
108380,Wales,Wales,2013,134368.553961,
108381,Wales,Wales,2014,135077.308881,
108382,Wales,Wales,2015,135794.473384,
108383,Wales,Wales,2016,136581.533008,
108384,Wales,Wales,2017,137415.347539,
108385,Western Europe,Western Europe,1990,16683142.285600,
108386,Western Europe,Western Europe,1991,16660557.675100,
108387,Western Europe,Western Europe,1992,16650975.690800,
108388,Western Europe,Western Europe,1993,16647805.399200,
108389,Western Europe,Western Europe,1994,16663562.713200,
108390,Western Europe,Western Europe,1995,16703131.608300,
108391,Western Europe,Western Europe,1996,16742970.617600,
108392,Western Europe,Western Europe,1997,16762085.139400,
108393,Western Europe,Western Europe,1998,16777488.508700,
108394,Western Europe,Western Europe,1999,16811607.550300,
108395,Western Europe,Western Europe,2000,16881232.046900,
108396,Western Europe,Western Europe,2001,16965795.779800,
108397,Western Europe,Western Europe,2002,17038761.191000,
108398,Western Europe,Western Europe,2003,17101585.282100,
